2020-05-21 11:01:21 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 13:24:01 [main] INFO l:173 /127.0.0.1:53202 | new user joined.
2020-05-21 13:24:07 [main] INFO l:199 /127.0.0.1:53202 | successfully executed <SHOW> command!
2020-05-21 13:24:28 [main] INFO l:199 /127.0.0.1:53202 | successfully executed <ADD> command!
2020-05-21 13:24:32 [main] INFO l:199 /127.0.0.1:53202 | successfully executed <SHOW> command!
2020-05-21 13:25:56 [main] WARN l:206 /127.0.0.1:53202 | user left.
2020-05-21 13:26:02 [main] INFO l:173 /127.0.0.1:53208 | new user joined.
2020-05-21 13:26:07 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 13:26:29 [main] INFO l:172 /127.0.0.1:53219 | new user joined.
2020-05-21 13:26:29 [main] INFO l:198 /127.0.0.1:53219 | successfully executed <ADD> command!
2020-05-21 13:26:58 [main] INFO l:198 /127.0.0.1:53219 | successfully executed <SHOW> command!
2020-05-21 13:33:09 [main] INFO l:128 /###.###.#.##:##### | server is waiting to users...
2020-05-21 13:33:17 [main] INFO l:173 /127.0.0.1:53249 | new user joined.
2020-05-21 13:33:58 [main] INFO l:199 /127.0.0.1:53249 | successfully executed <ADD> command!
2020-05-21 13:34:05 [main] INFO l:199 /127.0.0.1:53249 | successfully executed <SHOW> command!
2020-05-21 13:35:30 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 13:35:53 [main] INFO l:172 /127.0.0.1:53266 | new user joined.
2020-05-21 13:35:53 [main] INFO l:198 /127.0.0.1:53266 | successfully executed <ADD> command!
2020-05-21 13:35:59 [main] INFO l:198 /127.0.0.1:53266 | successfully executed <SHOW> command!
2020-05-21 13:41:49 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 13:41:57 [main] INFO l:172 /127.0.0.1:53327 | new user joined.
2020-05-21 13:41:57 [main] INFO l:197 /127.0.0.1:53327 | successfully executed <SHOW> command!
2020-05-21 13:42:06 [main] WARN l:204 /127.0.0.1:53327 | user left.
2020-05-21 13:42:07 [main] INFO l:172 /127.0.0.1:53330 | new user joined.
2020-05-21 13:42:13 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <HELP> command!
2020-05-21 13:42:15 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <HELP> command!
2020-05-21 13:42:16 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <HELP> command!
2020-05-21 13:42:16 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <HELP> command!
2020-05-21 13:42:17 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <HELP> command!
2020-05-21 13:42:18 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <HELP> command!
2020-05-21 13:42:31 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <SHOW> command!
2020-05-21 13:42:34 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <SHOW> command!
2020-05-21 13:42:36 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <HELP> command!
2020-05-21 13:42:37 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <HELP> command!
2020-05-21 13:42:40 [main] INFO l:197 /127.0.0.1:53330 | successfully executed <SHOW> command!
2020-05-21 13:50:47 [main] WARN l:204 /127.0.0.1:53330 | user left.
2020-05-21 13:50:58 [main] INFO l:172 /127.0.0.1:53349 | new user joined.
2020-05-21 13:51:08 [main] INFO l:197 /127.0.0.1:53349 | successfully executed <HELP> command!
2020-05-21 13:51:18 [main] WARN l:204 /127.0.0.1:53349 | user left.
2020-05-21 13:51:23 [main] INFO l:172 /127.0.0.1:53360 | new user joined.
2020-05-21 13:51:25 [main] INFO l:197 /127.0.0.1:53360 | successfully executed <HELP> command!
2020-05-21 13:53:17 [main] WARN l:204 /127.0.0.1:53360 | user left.
2020-05-21 13:53:25 [main] INFO l:172 /127.0.0.1:53369 | new user joined.
2020-05-21 13:53:32 [main] INFO l:197 /127.0.0.1:53369 | successfully executed <HELP> command!
2020-05-21 13:54:49 [main] WARN l:204 /127.0.0.1:53369 | user left.
2020-05-21 13:54:53 [main] INFO l:172 /127.0.0.1:53380 | new user joined.
2020-05-21 13:54:55 [main] INFO l:197 /127.0.0.1:53380 | successfully executed <HELP> command!
2020-05-21 13:54:56 [main] INFO l:197 /127.0.0.1:53380 | successfully executed <HELP> command!
2020-05-21 13:54:57 [main] INFO l:197 /127.0.0.1:53380 | successfully executed <HELP> command!
2020-05-21 13:56:53 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 13:56:54 [main] INFO l:172 /127.0.0.1:53395 | new user joined.
2020-05-21 13:56:59 [main] INFO l:197 /127.0.0.1:53395 | successfully executed <HELP> command!
2020-05-21 13:57:06 [main] WARN l:204 /127.0.0.1:53395 | user left.
2020-05-21 13:57:12 [main] INFO l:172 /127.0.0.1:53403 | new user joined.
2020-05-21 13:57:13 [main] INFO l:197 /127.0.0.1:53403 | successfully executed <HELP> command!
2020-05-21 13:58:14 [main] WARN l:204 /127.0.0.1:53403 | user left.
2020-05-21 13:58:16 [main] INFO l:172 /127.0.0.1:53409 | new user joined.
2020-05-21 13:58:47 [main] INFO l:197 /127.0.0.1:53409 | successfully executed <ADD> command!
2020-05-21 13:59:04 [main] WARN l:204 /127.0.0.1:53409 | user left.
2020-05-21 13:59:07 [main] INFO l:172 /127.0.0.1:53417 | new user joined.
2020-05-21 13:59:13 [main] INFO l:197 /127.0.0.1:53417 | successfully executed <SHOW> command!
2020-05-21 13:59:51 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 13:59:51 [main] INFO l:172 /127.0.0.1:53430 | new user joined.
2020-05-21 13:59:51 [main] INFO l:198 /127.0.0.1:53430 | successfully executed <SHOW> command!
2020-05-21 14:00:18 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 14:00:22 [main] INFO l:172 /127.0.0.1:53438 | new user joined.
2020-05-21 14:00:22 [main] INFO l:198 /127.0.0.1:53438 | successfully executed <SHOW> command!
2020-05-21 14:00:49 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 14:00:52 [main] INFO l:172 /127.0.0.1:53448 | new user joined.
2020-05-21 14:00:52 [main] INFO l:198 /127.0.0.1:53448 | successfully executed <HELP> command!
2020-05-21 14:02:53 [main] WARN l:205 /127.0.0.1:53448 | user left.
2020-05-21 14:02:59 [main] INFO l:172 /127.0.0.1:53453 | new user joined.
2020-05-21 14:03:21 [main] INFO l:198 /127.0.0.1:53453 | successfully executed <HELP> command!
2020-05-21 14:04:05 [main] WARN l:205 /127.0.0.1:53453 | user left.
2020-05-21 14:04:11 [main] INFO l:172 /127.0.0.1:53461 | new user joined.
2020-05-21 14:04:14 [main] INFO l:198 /127.0.0.1:53461 | successfully executed <HELP> command!
2020-05-21 14:08:18 [main] WARN l:205 /127.0.0.1:53461 | user left.
2020-05-21 14:08:29 [main] INFO l:172 /127.0.0.1:53484 | new user joined.
2020-05-21 14:08:30 [main] INFO l:198 /127.0.0.1:53484 | successfully executed <HELP> command!
2020-05-21 14:09:00 [main] WARN l:205 /127.0.0.1:53484 | user left.
2020-05-21 14:09:05 [main] INFO l:172 /127.0.0.1:53493 | new user joined.
2020-05-21 14:09:08 [main] INFO l:198 /127.0.0.1:53493 | successfully executed <HELP> command!
2020-05-21 14:15:25 [main] WARN l:205 /127.0.0.1:53493 | user left.
2020-05-21 14:15:31 [main] INFO l:172 /127.0.0.1:53505 | new user joined.
2020-05-21 14:15:38 [main] INFO l:198 /127.0.0.1:53505 | successfully executed <HELP> command!
2020-05-21 14:15:56 [main] WARN l:205 /127.0.0.1:53505 | user left.
2020-05-21 14:16:02 [main] INFO l:172 /127.0.0.1:53514 | new user joined.
2020-05-21 14:16:05 [main] INFO l:198 /127.0.0.1:53514 | successfully executed <HELP> command!
2020-05-21 14:16:36 [main] WARN l:205 /127.0.0.1:53514 | user left.
2020-05-21 14:16:40 [main] INFO l:172 /127.0.0.1:53524 | new user joined.
2020-05-21 14:16:42 [main] INFO l:198 /127.0.0.1:53524 | successfully executed <HELP> command!
2020-05-21 14:18:54 [main] WARN l:205 /127.0.0.1:53524 | user left.
2020-05-21 14:18:59 [main] INFO l:172 /127.0.0.1:53637 | new user joined.
2020-05-21 14:19:04 [main] INFO l:198 /127.0.0.1:53637 | successfully executed <HELP> command!
2020-05-21 14:19:53 [main] WARN l:205 /127.0.0.1:53637 | user left.
2020-05-21 14:19:58 [main] INFO l:172 /127.0.0.1:53646 | new user joined.
2020-05-21 14:20:00 [main] INFO l:198 /127.0.0.1:53646 | successfully executed <HELP> command!
2020-05-21 14:21:22 [main] WARN l:205 /127.0.0.1:53646 | user left.
2020-05-21 14:21:28 [main] INFO l:172 /127.0.0.1:53663 | new user joined.
2020-05-21 14:21:30 [main] INFO l:198 /127.0.0.1:53663 | successfully executed <HELP> command!
2020-05-21 14:25:44 [main] WARN l:205 /127.0.0.1:53663 | user left.
2020-05-21 14:25:50 [main] INFO l:172 /127.0.0.1:53674 | new user joined.
2020-05-21 14:25:54 [main] INFO l:198 /127.0.0.1:53674 | successfully executed <SHOW> command!
2020-05-21 14:26:07 [main] WARN l:205 /127.0.0.1:53674 | user left.
2020-05-21 14:26:57 [main] INFO l:172 /127.0.0.1:53686 | new user joined.
2020-05-21 14:27:00 [main] INFO l:198 /127.0.0.1:53686 | successfully executed <HELP> command!
2020-05-21 14:31:17 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 14:31:40 [main] INFO l:172 /127.0.0.1:53699 | new user joined.
2020-05-21 14:31:43 [main] INFO l:197 /127.0.0.1:53699 | successfully executed <HELP> command!
2020-05-21 14:32:41 [main] WARN l:204 /127.0.0.1:53699 | user left.
2020-05-21 14:32:46 [main] INFO l:172 /127.0.0.1:53707 | new user joined.
2020-05-21 14:32:48 [main] INFO l:197 /127.0.0.1:53707 | successfully executed <HELP> command!
2020-05-21 14:33:25 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 14:33:25 [main] INFO l:172 /127.0.0.1:53715 | new user joined.
2020-05-21 14:33:25 [main] INFO l:197 /127.0.0.1:53715 | successfully executed <HELP> command!
2020-05-21 14:33:26 [main] WARN l:204 /127.0.0.1:53715 | user left.
2020-05-21 14:33:27 [main] INFO l:172 /127.0.0.1:53723 | new user joined.
2020-05-21 14:33:29 [main] INFO l:197 /127.0.0.1:53723 | successfully executed <HELP> command!
2020-05-21 14:34:53 [main] WARN l:204 /127.0.0.1:53723 | user left.
2020-05-21 14:34:58 [main] INFO l:172 /127.0.0.1:53731 | new user joined.
2020-05-21 14:35:01 [main] INFO l:197 /127.0.0.1:53731 | successfully executed <HELP> command!
2020-05-21 14:35:19 [main] WARN l:204 /127.0.0.1:53731 | user left.
2020-05-21 14:35:24 [main] INFO l:172 /127.0.0.1:53739 | new user joined.
2020-05-21 14:35:26 [main] INFO l:197 /127.0.0.1:53739 | successfully executed <HELP> command!
2020-05-21 14:35:38 [main] WARN l:204 /127.0.0.1:53739 | user left.
2020-05-21 14:35:43 [main] INFO l:172 /127.0.0.1:53747 | new user joined.
2020-05-21 14:35:46 [main] INFO l:197 /127.0.0.1:53747 | successfully executed <HELP> command!
2020-05-21 15:10:47 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:10:48 [main] INFO l:174 /127.0.0.1:53834 | new user joined.
2020-05-21 15:10:51 [main] WARN l:206 /127.0.0.1:53834 | user left.
2020-05-21 15:11:00 [main] INFO l:174 /127.0.0.1:53838 | new user joined.
2020-05-21 15:11:00 [main] WARN l:206 /127.0.0.1:53838 | user left.
2020-05-21 15:11:11 [main] INFO l:174 /127.0.0.1:53839 | new user joined.
2020-05-21 15:11:11 [main] WARN l:206 /127.0.0.1:53839 | user left.
2020-05-21 15:12:36 [main] INFO l:174 /127.0.0.1:53844 | new user joined.
2020-05-21 15:12:38 [main] WARN l:206 /127.0.0.1:53844 | user left.
2020-05-21 15:16:12 [main] ERROR l:107                     | an error occurred with server!
2020-05-21 15:16:15 [main] INFO l:174 /127.0.0.1:53886 | new user joined.
2020-05-21 15:16:18 [main] WARN l:206 /127.0.0.1:53886 | user left.
2020-05-21 15:16:33 [main] ERROR l:107                     | an error occurred with server!
2020-05-21 15:17:02 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:17:06 [main] INFO l:174 /127.0.0.1:53913 | new user joined.
2020-05-21 15:17:08 [main] WARN l:206 /127.0.0.1:53913 | user left.
2020-05-21 15:25:04 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:25:12 [main] INFO l:174 /127.0.0.1:53955 | new user joined.
2020-05-21 15:25:14 [main] WARN l:208 /127.0.0.1:53955 | user left.
2020-05-21 15:26:06 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:26:24 [main] INFO l:174 /127.0.0.1:53977 | new user joined.
2020-05-21 15:26:46 [main] WARN l:209 /127.0.0.1:53977 | user left.
2020-05-21 15:31:31 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:31:50 [main] INFO l:174 /127.0.0.1:54063 | new user joined.
2020-05-21 15:31:53 [main] WARN l:207 /127.0.0.1:54063 | user left.
2020-05-21 15:37:27 [main] INFO l:174 /127.0.0.1:54091 | new user joined.
2020-05-21 15:37:27 [main] WARN l:207 /127.0.0.1:54091 | user left.
2020-05-21 15:37:37 [main] INFO l:174 /127.0.0.1:54092 | new user joined.
2020-05-21 15:37:37 [main] WARN l:207 /127.0.0.1:54092 | user left.
2020-05-21 15:37:43 [main] INFO l:174 /127.0.0.1:54093 | new user joined.
2020-05-21 15:37:43 [main] WARN l:207 /127.0.0.1:54093 | user left.
2020-05-21 15:37:49 [main] INFO l:174 /127.0.0.1:54094 | new user joined.
2020-05-21 15:37:49 [main] WARN l:207 /127.0.0.1:54094 | user left.
2020-05-21 15:37:55 [main] INFO l:174 /127.0.0.1:54095 | new user joined.
2020-05-21 15:37:55 [main] WARN l:207 /127.0.0.1:54095 | user left.
2020-05-21 15:39:55 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:40:01 [main] INFO l:174 /127.0.0.1:54111 | new user joined.
2020-05-21 15:40:05 [main] WARN l:207 /127.0.0.1:54111 | user left.
2020-05-21 15:40:13 [main] INFO l:174 /127.0.0.1:54116 | new user joined.
2020-05-21 15:40:13 [main] WARN l:207 /127.0.0.1:54116 | user left.
2020-05-21 15:40:24 [main] INFO l:174 /127.0.0.1:54117 | new user joined.
2020-05-21 15:40:24 [main] WARN l:207 /127.0.0.1:54117 | user left.
2020-05-21 15:49:10 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:49:15 [main] INFO l:174 /127.0.0.1:54167 | new user joined.
2020-05-21 15:49:18 [main] WARN l:211 /127.0.0.1:54167 | user left.
2020-05-21 15:50:19 [main] INFO l:174 /127.0.0.1:54175 | new user joined.
2020-05-21 15:50:22 [main] WARN l:211 /127.0.0.1:54175 | user left.
2020-05-21 15:50:56 [main] INFO l:174 /127.0.0.1:54183 | new user joined.
2020-05-21 15:50:59 [main] WARN l:211 /127.0.0.1:54183 | user left.
2020-05-21 15:51:14 [main] INFO l:174 /127.0.0.1:54187 | new user joined.
2020-05-21 15:51:14 [main] WARN l:211 /127.0.0.1:54187 | user left.
2020-05-21 15:52:45 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:52:50 [main] INFO l:174 /127.0.0.1:54201 | new user joined.
2020-05-21 15:52:57 [main] WARN l:211 /127.0.0.1:54201 | user left.
2020-05-21 15:53:15 [main] INFO l:174 /127.0.0.1:54228 | new user joined.
2020-05-21 15:53:15 [main] WARN l:211 /127.0.0.1:54228 | user left.
2020-05-21 15:55:22 [main] INFO l:174 /127.0.0.1:54378 | new user joined.
2020-05-21 15:55:25 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:55:34 [main] INFO l:174 /127.0.0.1:54389 | new user joined.
2020-05-21 15:55:34 [main] WARN l:212 /127.0.0.1:54389 | user left.
2020-05-21 15:56:09 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 15:56:24 [main] INFO l:174 /127.0.0.1:54400 | new user joined.
2020-05-21 15:56:24 [main] WARN l:212 /127.0.0.1:54400 | user left.
2020-05-21 16:02:57 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:03:00 [main] INFO l:174 /127.0.0.1:54416 | new user joined.
2020-05-21 16:03:02 [main] INFO l:204 /127.0.0.1:54416 | successfully executed <HELP> command!
2020-05-21 16:06:11 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:06:18 [main] INFO l:174 /127.0.0.1:54430 | new user joined.
2020-05-21 16:06:18 [main] INFO l:203 /127.0.0.1:54430 | successfully executed <HELP> command!
2020-05-21 16:06:20 [main] INFO l:203 /127.0.0.1:54430 | successfully executed <HELP> command!
2020-05-21 16:06:21 [main] INFO l:203 /127.0.0.1:54430 | successfully executed <HELP> command!
2020-05-21 16:06:21 [main] INFO l:203 /127.0.0.1:54430 | successfully executed <HELP> command!
2020-05-21 16:06:22 [main] INFO l:203 /127.0.0.1:54430 | successfully executed <HELP> command!
2020-05-21 16:06:54 [main] WARN l:211 /127.0.0.1:54430 | user left.
2020-05-21 16:06:59 [main] INFO l:174 /127.0.0.1:54435 | new user joined.
2020-05-21 16:07:01 [main] INFO l:203 /127.0.0.1:54435 | successfully executed <HELP> command!
2020-05-21 16:07:45 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:07:46 [main] INFO l:174 /127.0.0.1:54450 | new user joined.
2020-05-21 16:07:46 [main] INFO l:203 /127.0.0.1:54450 | successfully executed <HELP> command!
2020-05-21 16:07:48 [main] WARN l:211 /127.0.0.1:54450 | user left.
2020-05-21 16:07:49 [main] INFO l:174 /127.0.0.1:54453 | new user joined.
2020-05-21 16:08:00 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:08:06 [main] INFO l:174 /127.0.0.1:54468 | new user joined.
2020-05-21 16:08:08 [main] INFO l:203 /127.0.0.1:54468 | successfully executed <HELP> command!
2020-05-21 16:09:01 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:09:13 [main] INFO l:174 /127.0.0.1:54482 | new user joined.
2020-05-21 16:09:13 [main] INFO l:204 /127.0.0.1:54482 | successfully executed <HELP> command!
2020-05-21 16:09:36 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:09:57 [main] INFO l:174 /127.0.0.1:54493 | new user joined.
2020-05-21 16:09:57 [main] INFO l:204 /127.0.0.1:54493 | successfully executed <HELP> command!
2020-05-21 16:10:19 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:10:29 [main] INFO l:174 /127.0.0.1:54503 | new user joined.
2020-05-21 16:10:29 [main] INFO l:201 /127.0.0.1:54503 | successfully executed <HELP> command!
2020-05-21 16:11:41 [main] WARN l:209 /127.0.0.1:54503 | user left.
2020-05-21 16:11:46 [main] INFO l:174 /127.0.0.1:54509 | new user joined.
2020-05-21 16:11:56 [main] INFO l:201 /127.0.0.1:54509 | successfully executed <HELP> command!
2020-05-21 16:12:36 [main] WARN l:209 /127.0.0.1:54509 | user left.
2020-05-21 16:12:40 [main] INFO l:174 /127.0.0.1:54517 | new user joined.
2020-05-21 16:12:45 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:12:53 [main] INFO l:174 /127.0.0.1:54528 | new user joined.
2020-05-21 16:12:53 [main] INFO l:201 /127.0.0.1:54528 | successfully executed <HELP> command!
2020-05-21 16:13:58 [main] INFO l:129 /###.###.#.##:##### | server is waiting to users...
2020-05-21 16:14:09 [main] INFO l:174 /127.0.0.1:54538 | new user joined.
2020-05-21 16:14:09 [main] INFO l:202 /127.0.0.1:54538 | successfully executed <HELP> command!
2020-05-21 16:15:23 [main] WARN l:209 /127.0.0.1:54538 | user left.
2020-05-21 16:15:28 [main] INFO l:174 /127.0.0.1:54544 | new user joined.
2020-05-21 16:15:29 [main] INFO l:202 /127.0.0.1:54544 | successfully executed <HELP> command!
2020-05-21 16:16:17 [main] WARN l:209 /127.0.0.1:54544 | user left.
2020-05-21 16:16:21 [main] INFO l:174 /127.0.0.1:54552 | new user joined.
2020-05-21 16:16:23 [main] INFO l:202 /127.0.0.1:54552 | successfully executed <HELP> command!
2020-05-21 16:17:35 [main] WARN l:209 /127.0.0.1:54552 | user left.
2020-05-21 16:17:40 [main] INFO l:174 /127.0.0.1:54560 | new user joined.
2020-05-21 16:17:42 [main] INFO l:202 /127.0.0.1:54560 | successfully executed <HELP> command!
2020-05-21 16:19:06 [main] WARN l:209 /127.0.0.1:54560 | user left.
2020-05-21 16:19:14 [main] INFO l:174 /127.0.0.1:54571 | new user joined.
2020-05-21 16:19:15 [main] INFO l:202 /127.0.0.1:54571 | successfully executed <HELP> command!
2020-05-21 16:20:53 [main] WARN l:209 /127.0.0.1:54571 | user left.
2020-05-21 16:20:58 [main] INFO l:174 /127.0.0.1:54577 | new user joined.
2020-05-21 16:21:00 [main] INFO l:202 /127.0.0.1:54577 | successfully executed <HELP> command!
2020-05-21 16:21:13 [main] WARN l:209 /127.0.0.1:54577 | user left.
2020-05-21 16:22:28 [main] INFO l:174 /127.0.0.1:54588 | new user joined.
2020-05-21 16:22:31 [main] INFO l:202 /127.0.0.1:54588 | successfully executed <HELP> command!
2020-05-21 16:24:03 [main] WARN l:209 /127.0.0.1:54588 | user left.
2020-05-21 16:24:08 [main] INFO l:174 /127.0.0.1:54595 | new user joined.
2020-05-21 16:24:11 [main] INFO l:202 /127.0.0.1:54595 | successfully executed <HELP> command!
2020-05-21 16:24:21 [main] WARN l:209 /127.0.0.1:54595 | user left.
2020-05-21 16:24:22 [main] INFO l:174 /127.0.0.1:54601 | new user joined.
2020-05-21 16:24:23 [main] INFO l:202 /127.0.0.1:54601 | successfully executed <HELP> command!
2020-05-21 16:25:40 [main] WARN l:209 /127.0.0.1:54601 | user left.
2020-05-21 16:25:42 [main] INFO l:174 /127.0.0.1:54607 | new user joined.
2020-05-21 16:25:44 [main] INFO l:202 /127.0.0.1:54607 | successfully executed <HELP> command!
2020-05-21 16:26:38 [main] WARN l:209 /127.0.0.1:54607 | user left.
2020-05-21 16:26:41 [main] INFO l:174 /127.0.0.1:54613 | new user joined.
2020-05-21 16:26:49 [main] INFO l:202 /127.0.0.1:54613 | successfully executed <HELP> command!
2020-05-21 16:27:28 [main] WARN l:209 /127.0.0.1:54613 | user left.
2020-05-21 16:27:33 [main] INFO l:174 /127.0.0.1:54622 | new user joined.
2020-05-21 16:27:35 [main] INFO l:202 /127.0.0.1:54622 | successfully executed <HELP> command!
2020-05-21 16:29:12 [main] WARN l:209 /127.0.0.1:54622 | user left.
2020-05-21 16:29:17 [main] INFO l:174 /127.0.0.1:54631 | new user joined.
2020-05-21 16:29:19 [main] INFO l:202 /127.0.0.1:54631 | successfully executed <HELP> command!
2020-05-21 16:29:33 [main] WARN l:209 /127.0.0.1:54631 | user left.
2020-05-21 16:29:34 [main] INFO l:174 /127.0.0.1:54637 | new user joined.
